公司名稱,產業類別,聯絡人,產業描述,電話,資本額,傳真,員工人數,地址,公司網址,官方,地址相同,資本額誤差
新聖網遊企業,其他零售業,林先生,資訊服務業,暫不提供,50萬元,暫不提供,暫不提供,臺南市中西區小西門里府緯街9巷29號3樓之2,https://www.jstargroup.net,,,
台灣大哥大學甲中山加盟門市_肝鐵仁有限公司,電信相關業,暫不提供,電信相關業,暫不提供,暫不提供,暫不提供,暫不提供,暫不提供,,,,
郁之泉企業股份有限公司,空調水機電工程業,暫不提供,配管工程業,暫不提供,2500萬元,暫不提供,25人,暫不提供,,,,
芫成水果行,農╱畜╱水產品零售業,沈芫毅,農╱畜╱水產品零售業,0928-775438,暫不提供,暫不提供,2人,臺南市北區中華北路一段8號(和緯黃昏市場-沈家芭樂),,,,
太子噴砂有限公司,金屬表面處理及熱處理業,黃小姐,金屬表面處理及熱處理業,暫不提供,1500萬元,暫不提供,32人,臺南市仁德區勝利一街62號,http://taitz.com.tw,,,
全泰科技有限公司,通用機械設備製造修配業,暫不提供,半導體相關機械設備製造修配業，技術人力服務,暫不提供,2000萬元,暫不提供,50人,暫不提供,,,,
小方杯手作茶_品聚餐飲,飲料店業,暫不提供,飲料店業,暫不提供,暫不提供,暫不提供,暫不提供,暫不提供,,,,
圓明工業股份有限公司,塑膠製品製造業,暫不提供,化妝品包材生產製造外銷,暫不提供,3000萬元,暫不提供,150人,暫不提供,http://www.yuenmyng.com,,,
至強商行,其他商品批發業,暫不提供,螺絲買賣,暫不提供,暫不提供,暫不提供,暫不提供,暫不提供,,,,
吉富展覽有限公司,廣告行銷公關業,暫不提供,廣告行銷公關業,暫不提供,550萬元,暫不提供,10人,暫不提供,http://www.kifoo.com.tw,,,
米平方藝術工程有限公司,其他相關製造業,陳總監,其他相關製造業,06-2058277,1000萬元,06-2057066,暫不提供,臺南市永康區大灣路1102巷17弄105號,https://www.frp-msquare.com/index.html,,,
行動學習科技股份有限公司,數位內容產業,蘇小姐,提供專業的多元學習服務,06-7025938,3117萬元,06-2235002,30人,臺南市東區東門路一段3號2樓,http://www.twstudy.com,,,
台南市私立小熊托嬰中心,學前教育事業,黃小姐,學前教育事業,06-5051288,暫不提供,暫不提供,暫不提供,臺南市新市區大順三路125號2樓,,,,
天福宏承密封有限公司,汽機車及其零配件用品╱批發業,黃小姐,汽機車及相關用品批發,06-2437397,暫不提供,06-2436797,15人,臺南市永康區三村一街220號,https://www.tfhc-oilseal.com/,,,
大晉興業行,其他電子零組件相關業,林先生,其他電子零組件相關業,暫不提供,暫不提供,06-2016020,2人,臺南市永康區二王路129號,http://www.dajincom.tw,,,
健崴企業有限公司,其他相關製造業,查先生,製造業,暫不提供,600萬元,暫不提供,暫不提供,臺南市安南區政安路149巷20號(和順工業區),http://www.myplastics.com.tw,,,
北歐小幸福,其他住宿服務業,張先生,其他住宿服務業,暫不提供,暫不提供,暫不提供,暫不提供,臺南市中西區民權路一段26號,,,,
應誠窗簾股份有限公司,百貨相關業,柯課長,進出口貿易商、、電動窗簾成窗、零配件、窗簾成窗、零配件；鋁擠形製品、鋁葉片烤漆製品、射出成型,暫不提供,3億3000萬元,暫不提供,120人,臺南市善化區小新營392號,http://www.uni-soleil.com.tw/,,,
承鋐工業有限公司,其他金屬相關製造業,暫不提供,塑膠模具CNC銑床加工,暫不提供,暫不提供,暫不提供,暫不提供,暫不提供,,,,
丸久國際貿易有限公司,綜合商品批發代理業,陳小姐,綜合商品批發代理業,06-2960178,100萬元,暫不提供,30人,臺南市南區永成路二段627-6號,https://www.facebook.com/miniminJP/,,,
拓石鍍膜,汽機車及其零配件用品／批發業,暫不提供,汽車美容、車體鍍膜、車室清潔保養、車室美容、車室殺菌,暫不提供,暫不提供,暫不提供,4人,暫不提供,,,,
萬年國際企業有限公司,汽車及其零件製造業,陳小姐/洪小姐,汽車╱零件製造,06-2437758,暫不提供,06-2438019,15人,臺南市永康區國聖街167巷31號,http://www.luminousstar.com,,,
臺南市私立仁愛幼兒園,學前教育事業,暫不提供,學校及文教機構,暫不提供,2000萬元,暫不提供,15人,暫不提供,http://proto.dyndns.biz/gallery/iloveyou,,,
中正耳鼻喉科診所,診所,暫不提供,耳鼻喉科家醫科診所,暫不提供,暫不提供,暫不提供,5人,暫不提供,https://www.facebook.com/ENT2333566,,,
西屹設計有限公司,專門設計相關業,孫小姐,本業工業設計，跨足至視覺設計、展覽策劃、活動規劃、社區聯結，全方位整合,暫不提供,600萬元,暫不提供,暫不提供,臺南市中西區正興街86號,http://www.bodesign.com.tw,,,
伊琪雅美容坊,美容／美體業,人事,美容／美體業,06-2152629,暫不提供,06-2153980,暫不提供,臺南市中西區府前路一段289號,,,,
胖蝸牛親子民宿,其他住宿服務業,何小姐,親子民宿,暫不提供,暫不提供,暫不提供,暫不提供,臺南市安平區州平二街15號,,,,
巨石建設有限公司,不動產經營業,謝小姐,不動產經營業,06-2880668,暫不提供,06-3353266,暫不提供,臺南市東區崇明里崇明路720號1樓,,,,
詠泰真空科技有限公司,汽機車及其零配件╱用品零售業,陳先生,汽機車及其零配件╱用品零售業,06-3563529,暫不提供,06-3560293,暫不提供,臺南市安南區新順里永安路17號1樓,,,,
許氏洋行股份有限公司,綜合商品批發代理業,李先生,農╱畜╱水產品零售業,06-5998008,暫不提供,06-5897162,暫不提供,臺南市新市區新和里信義街65之12號3樓,,,,
華旭科技股份有限公司,其他電子零組件相關業,廖小姐,電子相關,06-6982961,暫不提供,暫不提供,50人,臺南市官田區官田工業區力行街6-2號,,,,
宏鑌工程顧問有限公司,建築工程業,謝先生,土木、測量、景觀及室內工程規劃設計,暫不提供,暫不提供,暫不提供,11人,臺南市永康區鹽信街16號,,,,
華森建業股份有限公司,建築工程業,李先生,建築工程業,暫不提供,2億1萬元,暫不提供,4人,臺南市南區新愛路17號,,,,
泳輝科技工程有限公司,空調水機電工程業,李小姐,統包工程,06-5930486,2000萬元,06-5930487,50人,臺南市安定區南部科學園區海寮里137之12號,https://www.yonghui.com.tw/,,,
海安水產有限公司,農╱畜╱水產品批發業,HR,網路水產海鮮品牌,06-5976773,暫不提供,暫不提供,暫不提供,臺南市安定區安定里7-1,https://www.eelee.com.tw/,,,
廣富號國際有限公司,鞋類╱布類╱服飾品批發業,吳小姐,鞋類╱布類╱服飾品批發業,暫不提供,暫不提供,暫不提供,暫不提供,臺南市南區永成路三段221號,,,,
康輝樓梯升降椅有限公司,醫療器材製造業,沈經理,樓梯升降椅,06-6566079,516萬元,06-6591615,23人,臺南市新營區長榮路二段907號,http://www.careknee.com,,,
慢慢來餐廳股份有限公司,餐館業,顏小姐,餐館業,06-2801304,暫不提供,06-2807504,30人,臺南市安平區平安里安平路408號,,,,
港威營造有限公司,建築工程業,詹小姐,營建工程業及建設開發業,暫不提供,1億2570萬元,暫不提供,76人,臺南市善化區南科北路47號,https://www.facebook.com/gangweiconstruction/,,,
迷客夏台南民族店_秀秀茶行,飲料店業,陳先生,飲料店業,06-2236000,20萬元,暫不提供,暫不提供,臺南市中西區民族路二段29號1樓,,,,
佳音英語安平分校_臺南市私立班尼頓文理短期補習班,補習班,Tina,補習班、學校及文教機構,06-2950007,暫不提供,06-2934236,50人,臺南市安平區華平路549號,,,,
庶古文創事業股份有限公司,綜合商品批發代理業,呂小姐,綜合商品批發代理業,暫不提供,2000萬元,暫不提供,暫不提供,臺南市新市區中心東路12號地下1樓,http://www.archaeo-c.com/About_tw.aspx,,,
東鍵電機有限公司,空調水機電工程業,王凱弘,(奇美實業廠區現場施工)水電工程，配管配線，控制盤安裝,06-2007880,100萬元,06-2361610,暫不提供,臺南市永康區成功路228巷64號,,,,
鳳姊人力資源顧問有限公司,人力仲介代徵,暫不提供,外勞仲介,暫不提供,500萬元,暫不提供,暫不提供,暫不提供,,,,
佳南水電瓦斯工程有限公司,電力機械器材製造修配業,暫不提供,用電設備檢驗、電力系統維護,暫不提供,500萬元,暫不提供,8人,暫不提供,,,,
全崴精密有限公司,金屬加工用機械製造修配業,李小姐,CNC電腦車床、銑床、車銑複合-半導體零配件加工,06-2436362,2800萬元,06-2430162,15人,臺南市永康區中正南路242巷14號,,,,
滙信科技有限公司,電腦軟體服務業,黃先生,"機械手臂系統整合,",06-7021568,100萬元,06-2797308,8人,臺南市仁德區林頂街3-2號,http://www.wesix.com.tw,,,
MALIBU泰式料理PUB_彼德屋飲食店,餐館業,黃小姐,餐館業,06-2677811,暫不提供,暫不提供,暫不提供,臺南市東區德光里崇明七街131號1樓,https://www.facebook.com/MalibuTaiShiLiaoLiCanTing,,,
吉村大飯店,旅館業,暫不提供,飯店業,暫不提供,暫不提供,暫不提供,16人,暫不提供,,,,
建隆便當_建隆餐飲店,餐館業,暫不提供,餐館業,暫不提供,暫不提供,暫不提供,暫不提供,暫不提供,,,,
盛美股份有限公司,食品什貨批發業,暫不提供,食品什貨批發業,暫不提供,1億,暫不提供,37人,暫不提供,http://www.shinemate.com.tw/,,,
頂程國際股份有限公司,其他半導體相關業,馮小姐,半導體設備與工程,06-5892601,1億2000萬元,06-5897936,50人,臺南市新市區光華街5之86號,https://www.dcint.com.tw/,,,
凡岩設計室內裝修有限公司,室內設計業,陳先生,室內設計業,暫不提供,20萬元,暫不提供,1人,臺南市中西區和緯路四段303號2樓,https://www.facebook.com/profile.php?id=100064104097812,,,
肕燒肉_創肕企業社,餐館業,暫不提供,餐館業,暫不提供,暫不提供,暫不提供,暫不提供,暫不提供,,,,
金太郎蛋包飯專賣_旺太郎小吃店,餐館業,王先生,日式餐飲專賣店,06-2998062,暫不提供,暫不提供,暫不提供,臺南市安平區健康三街240號B6,,,,
ZENITECH_价揚科技股份有限公司,自動控制相關業,暫不提供,進口歐美先進自動化產品銷售及維修,暫不提供,1000萬元,暫不提供,20人,暫不提供,http://www.zenitech.com.tw,,,
台南貨櫃公園_遠山國際有限公司,休閒服務業,暫不提供,親子遊樂園/感統活動戶外教學/幼兒園成長營,暫不提供,1000萬元,暫不提供,10人,暫不提供,https://www.facebook.com/ContainerParkTainan/,,,
台北小棧國際餐飲股份有限公司,餐館業,尤小姐,餐館業,暫不提供,1200萬元,暫不提供,30人,臺南市安平區安平工業區永華路二段569號,https://manyuegsyuan.com/beijingroastduck/,,,
結交世界旅遊精品店_衣力美實業有限公司,鞋類／布類／服飾品零售業,張小姐,鞋類／布類／服飾品零售業,暫不提供,600萬元,暫不提供,25人,臺南市東區裕和路,http://www.easymain.com.tw,,,
葉信工業股份有限公司,其他金屬相關製造業,葉先生,鋁鋅合金壓鑄業,06-2702488,4900萬元,06-2702489,暫不提供,臺南市仁德區忠義一街52號,https://www.ex-diecasting.com.tw/,,,
珍煮丹台南國華店_晨豐茶飲,飲料店業,謝小姐,飲料店業,06-2235156,暫不提供,暫不提供,6人,臺南市中西區國華街三段21號,https://www.facebook.com/TRUEDAN53/,,,
琦勝企業有限公司,其他電子零組件相關業,周先生,電子業,06-3842111,2990萬元,06-3840855,50人,臺南市安南區科技一路3號,http://www.conch.com.tw,,,
惠富科技工程有限公司,管線╱管道工程相關業,王小姐,管線╱管道工程相關業,暫不提供,暫不提供,暫不提供,17人,臺南市北區北安路一段176巷57弄14號1樓,,,,
東林護理之家,其他醫療保健服務業,楊院長,其他醫療保健服務業,06-7822955,100萬元,06-7821115,暫不提供,臺南市學甲區豐和里美豐49之23號,,,,
一井化粧品有限公司,化妝品製造業,鄭小姐,化妝品製造業,暫不提供,1600萬元,暫不提供,暫不提供,臺南市永康區大橋二街,http://www.ejeen.com.tw,,,
遠傳海佃特約服務中心_長青電信科技有限公司海佃分公司,電信相關業,吳小姐,"電信客服門市是當前年輕人最嚮往的高薪工作,而遠傳電信更是業界中最被所推崇的工作之一!",暫不提供,暫不提供,暫不提供,15人,臺南市安南區海佃路一段286號,,,,
成豐汽車材料行,汽機車及其零配件╱用品零售業,暫不提供,汽機車及其零配件╱用品零售業,暫不提供,暫不提供,暫不提供,7人,暫不提供,,,,
炫麗鑫有限公司,其他金屬相關製造業,詹先生,貴金屬製造銷售,06-2999805,2900萬元,暫不提供,15人,臺南市安平區光州七街59號,http://www.shiny.com.tw,,,
華美光學科技股份有限公司,其他相關製造業,陳小姐,光學眼鏡製造業,暫不提供,1億240萬元,暫不提供,700人,臺南市安定區中沙里沙崙28-2號,http://www.hwameei.com.tw,,,
雅居廚櫃有限公司,家庭電器╱設備及用品批發業,林小姐,居家裝修╱裝潢整體規劃,06-2661064,1400萬元,06-2669550,260人,臺南市仁德區中正路一段579號1樓,,,,
慶南醫療儀器行,其他零售業,傅小姐,醫療儀器商品販售，及長照輔具特約服務,06-2833888,暫不提供,暫不提供,9人,臺南市永康區甲頂路8號,,,,
將作不動產租賃服務有限公司(籌備處),不動產經營業,吳小姐,不動產經營業,06-2512557,暫不提供,暫不提供,暫不提供,臺南市善化區西拉雅大道330號,,,,
南輝汽車貨運股份有限公司,汽車貨運業,暫不提供,汽車貨運業,暫不提供,暫不提供,暫不提供,2人,暫不提供,,,,
鑫多媒體企業社,多媒體相關業,禹先生,多媒體相關業,暫不提供,15萬元,暫不提供,暫不提供,臺南市永康區永大路二段181號3樓,,,,
億鑫精密工業有限公司,專用生產機械製造修配業,暫不提供,各類模具,暫不提供,暫不提供,暫不提供,暫不提供,暫不提供,,,,
采樂國際股份有限公司,家庭電器╱設備及用品零售業,暫不提供,家庭電器╱設備及用品零售業,暫不提供,500萬元,暫不提供,5人,暫不提供,,,,
普新氣體股份有限公司,燃料零售業,暫不提供,工業氣體、醫療用氣體、高純度氣體及混合氣體銷售,暫不提供,1000萬元,暫不提供,15人,暫不提供,,,,
瑋駿金屬工程行,建築工程業,孫先生,金屬門窗加工品項,暫不提供,暫不提供,暫不提供,暫不提供,臺南市仁德區保安路一段17-5號,,,,
慶康科技股份有限公司,半導體製造業,劉小姐,半導體設備關鍵零組件製造,暫不提供,9800萬元,暫不提供,80人,臺南市新市區南部科學園區環東路一段320號,http://www.duratek.com.tw,,,
萱華工業股份有限公司,鋼鐵基本工業,曹小姐,金屬加工業,06-2701264,3億5000萬元,暫不提供,120人,臺南市仁德區忠義路80號,https://www.shuanhwa.com.tw,,,
財團法人成大研究發展基金會,其他教育服務業,方小姐,學校及文教機構,暫不提供,暫不提供,暫不提供,暫不提供,臺南市東區大學路1號,,,,
臺南市私立西凱華頓文理短期補習班,補習班,黃主任,補習班,06-2133327,暫不提供,暫不提供,暫不提供,臺南市中西區開山路245號2樓,,,,
佑昌裝璜材料行,建材／傢俱批發業,李小姐,建材╱傢俱批發業,06-2328634,暫不提供,06-2024196,暫不提供,臺南市永康區中山東路218巷23弄25號1樓,,,,
尚士工程有限公司,空調水機電工程業,暫不提供,南科台積電外包商(濾網更換安裝/五金鐵件設計安裝/無塵室隔間庫版),暫不提供,100萬元,暫不提供,12人,暫不提供,,,,
東帝龍實業股份有限公司,紡織成衣業,呂小姐,紡織假撚廠,06-2798889,暫不提供,06-2700288,70人,臺南市仁德區仁義里中山路48巷2號,https://reurl.cc/Gb0vaW,,,
天昱金科技股份有限公司,其他相關製造業,暫不提供,光電,暫不提供,300萬元,暫不提供,5人,暫不提供,,,,
三商美邦人壽保險股份有限公司_1612通訊處郭俊延(核可號碼P11100001號),人身保險業,郭先生,人身保險業,06-2292216,暫不提供,06-2294389,暫不提供,臺南市中西區民族路二段100號7樓,http://www.mli.com.tw,,,
文銘食品股份有限公司,其他餐飲業,暫不提供,其他餐飲業,暫不提供,1200萬元,暫不提供,35人,暫不提供,,,,
林儀瑄會計師事務所,會計服務業,林小姐,會計服務業,06-5853259,100萬元,06-5856359,暫不提供,臺南市善化區民權路136號,,,,
羽禾室內裝修設計有限公司,建物裝修及裝潢業,暫不提供,室內設計／空間規劃／裝潢施工,暫不提供,1900萬元,暫不提供,6人,暫不提供,https://www.facebook.com/YuheDesign/?ref=pages_you_manage,,,
特銓股份有限公司,其他商品批發業,陳小姐,半導體製造業,06-2716864,5250萬元,06-2712376,25人,臺南市仁德區太子路128號,,,,
宇盛精密鈑金工業有限公司,電力機械器材製造修配業,暫不提供,精密鈑金/金屬類成型,暫不提供,3880萬元,暫不提供,70人,暫不提供,http://www.ys-online.com.tw,,,
揚翔水電工程行,管線／管道工程相關業,黃先生,電力配線/結線,06-5981912,100萬元,暫不提供,5人,臺南市新化區南科高雄園區太平里中正路707巷15號1樓,,,,
太陽體能訓練中心_全可成有限公司,運動服務業,郭涵博,運動服務業,06-2229102,暫不提供,暫不提供,暫不提供,臺南市北區成功路54號2樓之1,,,,
台洋精密研磨有限公司,其他機械製造修配業,劉小姐,其他機械製造修配,06-2438869,暫不提供,暫不提供,暫不提供,臺南市永康區和平路261巷58號,,,,
台灣栢和國際實業有限公司,通用機械設備製造修配業,陳小姐,通用機械設備製造修配業,暫不提供,50萬元,暫不提供,10人,臺南市北區中樓里前鋒路293號12樓,,,,
摩根管理顧問有限公司,其他營造業,暫不提供,建築工程、建物裝修╱裝潢、建築╱工程技術服務,暫不提供,暫不提供,暫不提供,暫不提供,暫不提供,,,,
高手魷魚羹永福店_煊囍小吃店,餐館業,暫不提供,麵店,暫不提供,10萬元,暫不提供,暫不提供,暫不提供,,,,
精亦準實業有限公司,其他金屬相關製造業,石小姐,其他金屬相關製造業,06-2873862,暫不提供,06-2874112,15人,臺南市安南區安興街469巷51號,,,,
銘祥科技實業股份有限公司,精密儀器相關製造業,人事,物聯網AI感測器和物聯網AI控制器研發製造業,06-3110008,2168萬元,暫不提供,40人,臺南市仁德區文華路3段428巷33號,https://www.jnc-tec.com.tw,,,
新鉅峰國際科技有限公司,網際網路相關業,暫不提供,"醫療資訊服務業,醫療社群新媒體",暫不提供,1000萬元,暫不提供,暫不提供,暫不提供,https://njf.com.tw/njf/,,,
鉅能創新科技有限公司,自行車及其零件製造業,暫不提供,自行車及其零件製造業,暫不提供,暫不提供,暫不提供,暫不提供,暫不提供,,,,
富鈜實業有限公司,其他金屬相關製造業,黃小姐,其他金屬相關製造業,暫不提供,暫不提供,暫不提供,暫不提供,臺南市歸仁區和順路二段58號,,,,
祥恩中醫診所,診所,董小姐,診所,06-2935678,暫不提供,06-2952912,暫不提供,臺南市安平區建平路567號,,,,
小狀元課後輔導班_臺南市私立小狀元文理短期補習班,補習班,金先生,補習班,06-7235451,暫不提供,06-7224740,15人,臺南市佳里區安西路247號2-4樓,,,,
群豐駿科技股份有限公司,光學器材製造業,暫不提供,光電產業(TFT-LCD研發製造),暫不提供,15億,暫不提供,暫不提供,暫不提供,,,,
南寶樹脂化學工廠股份有限公司,化學原料製造業,陳小姐,化學製品製造業,06-7952801,10億8620萬元,06-7952065,2900人,臺南市西港區南海里南海街99巷10號,https://www.nanpao.com/,,,
三分春色國平店_吉豐國際有限公司,飲料店業,周小姐,飲料店業,06-2935555,暫不提供,暫不提供,暫不提供,臺南市安平區國平路178號,,,,
百陞雞腿飯_源穗餐飲店,餐館業,蘇先生,餐館業,06-5831234,暫不提供,暫不提供,暫不提供,臺南市善化區光明路26號,,,,
榮美金鬱金香酒店股份有限公司,旅館業,謝小姐,旅館業,06-2200800,暫不提供,06-2251966,暫不提供,臺南市北區海安路三段50號,http://www.glory-hotels.com/,,,
中油南區永成路加油站_益生豐有限公司,燃料零售業,林小姐,燃料零售業,暫不提供,暫不提供,暫不提供,15人,臺南市南區永成路二段828號,,,,
振裕藥局,其他醫療保健服務業,鄭小姐,社區藥局、健保藥局,06-2661478,暫不提供,06-2668050,3人,臺南市仁德區二行一路165號,http://www.facebook.com/jydrugs,,,
初幸居食屋_良田飲食企業社,餐館業,李小姐,餐館業,06-2233618,暫不提供,暫不提供,暫不提供,臺南市中西區開山里府前路1段124號1樓,https://www.facebook.com/Akira0729,,,
坤龍實業有限公司,其他相關製造業,史小姐,汽機車模具相關製造,暫不提供,暫不提供,暫不提供,暫不提供,臺南市安南區科技二路5號,,,,
億品鍋成大勝利店_永旭餐飲實業,餐館業,黃先生,餐館業,暫不提供,暫不提供,暫不提供,暫不提供,臺南市東區成大里育樂街１號2樓,,,,
松好農產行,農╱畜╱水產品零售業,李小姐,農╱畜╱水產品零售業,0918-333107,暫不提供,暫不提供,暫不提供,臺南市麻豆區大埕里忠孝路12-7號,,,,
巨群企業行,儲配╱運輸物流業,劉先生,儲配╱運輸物流業,暫不提供,暫不提供,暫不提供,25人,臺南市關廟區保東路269-9號(富強鑫廠區內),,,,
茶の魔手_文南冷飲店,飲料店業,林小姐,飲料店業,06-2613816,250萬元,暫不提供,暫不提供,臺南市南區文南路314號,,,,
鑫興鋁業股份有限公司,鋁基本工業,邱小姐,鋁基本工業,暫不提供,2億6000萬元,暫不提供,70人,臺南市西港區後營里後營350號,http://www.shinghsin.com/,,,
正州實業股份有限公司,塑膠製品製造業,鄭小姐,傢俱零件製品製造業,暫不提供,7500萬元,暫不提供,185人,臺南市仁德區中洲里中洲11街206號,http://www.casters.com.tw/,,,
台南市私立立呈文理短期補習班,補習班,暫不提供,國中小補習班英語補習班,暫不提供,暫不提供,暫不提供,暫不提供,暫不提供,,,,
德裕成興業有限公司,食品什貨批發業,謝小姐,菸酒經銷商、麒麟BAR,06-2533111,1億,06-2531206,40人,臺南市永康區中正南路181號,,,,
之澤食堂-新市店_中興便當店,餐館業,蔡先生,餐館業,06-5893039,暫不提供,暫不提供,暫不提供,臺南市新市區新市里中興街160號1樓,,,,
健鈦實業有限公司,其他商品批發業,暫不提供,商品批發業,暫不提供,暫不提供,暫不提供,8人,暫不提供,,,,
鴻日興科技有限公司,其他相關製造業,黃先生,其他相關製造業,暫不提供,暫不提供,暫不提供,暫不提供,臺南市新市區豐華里中心路6號2樓,,,,
台慶不動產台南仁和文化加盟店_廣丞不動產開發有限公司,不動產經營業,林先生,不動產經營業,06-2673939,10萬元,06-2670950,19人,臺南市東區仁和路39之10號1樓,https://shop.yungching.com.tw/062673939,,,
中國人壽保險股份有限公司_廣慶通訊處_中壽台南業支網第22030302號,人身保險業,林清香小姐,人壽保險業,暫不提供,379億,暫不提供,13137人,臺南市中西區西門路二段351號11樓,https://www.chinalife.com.tw,,,
久揚水電工程有限公司,空調水機電工程業,暫不提供,水電工程業,暫不提供,1500萬元,暫不提供,暫不提供,暫不提供,,,,
品舜開發建設企業有限公司,建築工程業,陳小姐,營建水泥相關業,暫不提供,9500萬元,暫不提供,20人,臺南市永康區網寮里永華路558號1樓,,,,
立鈜科技有限公司,建築工程業,王小姐,建築工程,06-5938881,暫不提供,06-5933636,暫不提供,臺南市安定區中榮里23之7號,,,,
好好吃牛排館,餐館業,暫不提供,餐館業,暫不提供,暫不提供,暫不提供,暫不提供,暫不提供,,,,
秝宸科技有限公司,其它軟體及網路相關業,鄭先生,機械安裝/製程調整/改造,06-2036970,暫不提供,暫不提供,暫不提供,臺南市永康區永大路三段407號,,,,
信富工業原料行,其他商品批發業,張小姐,其他商品批發業,暫不提供,100萬元,暫不提供,10人,臺南市永康區南興路65號,http://www.shinnfuh.com.tw,,,
