編號,公司名稱,公司位置,產業類別
73138117,小將 割烹‧壽司,台北市大安區安和路二段181巷3號,餐廳╱餐館
61359428,FIN沙龍,台北市中山區南京西路23巷5之1號,美容╱美體相關
73492907,瑞弘工程有限公司,台北市大安區忠孝東路五段345巷12號4樓,其他營造
73504780,安晴動物醫院,台北市中山區林森北路506號,動物醫院
73076178,聚北海道昆布鍋【台北衡陽店】,台北市中正區衡陽路7號2樓,餐廳╱餐館
70672158,樸石設計有限公司,台北市信義區松德路159號2樓之2,建物裝修╱裝潢
50061387,翡仕實業股份有限公司,台北市南港區重陽路221號B1,鐘錶╱眼鏡零售業
73174377,新加坡商星業科技有限公司台灣分公司,台北市大安區泰順街60巷9號1樓,人力派遣╱人力供應
50768687,國防部青年日報社,台北市中正區信義路一段3號10樓,新聞出版
73475180,洪樓餐飲,台北市士林區德行西路25號1樓,餐廳╱餐館
70023587,漢略國際創藝行銷有限公司,台北市松山區南京東路四段56號10樓之2,廣告行銷公關
73463109,群策鋼鐵貿易有限公司,台北市信義區信義路五段5號,國際貿易
50037079,人才天下有限公司,台北市信義區信義路五段5號5樓23室,會議展覽服務
73494129,Cosmic bistro,台北市大安區敦化南路一段161巷70號,餐廳╱餐館
50940007,勝忠國際物流有限公司,台北市大安區新生南路一段121號5樓,儲配╱運輸物流
73085340,citizenM Taipei North Gate 台北北門世民酒店,台北市中正區中華路一段3號,飯店╱旅館
72470831,有壯工程有限公司,台北市中山區建國北路二段99號2樓,建材╱傢俱批發
8945701,天中天工程有限公司,台北市大同區天水路49號8樓,土木工程
49816371,丹美股份有限公司,台北市南港區重陽路223號8樓,醫療器材批發
536229,天康連鎖藥局(天承生活事業股份有限公司),,其他醫療保健相關
9565118,社團法人中華民國全國中小企業總會,台北市大安區羅斯福路二段95號6樓,職業團體
68753531,永築工程顧問有限公司,台北市中山區林森北路380號10樓105室,建築╱工程技術服務
69357767,祐生醫療群,台北市內湖區康寧路三段54之11號,診所
69451977,紅林飲食店,台北市大安區臨江街5號,餐廳╱餐館
9592007,寶聰企業股份有限公司,"[內湖科技園區]                                                            
                                                        台北市內湖區瑞光路208號8樓",國際貿易
1268838,台北碧瑤飯店股份有限公司,台北市松山區八德路二段367號,飯店╱旅館
73539641,QBurger萬華國興店,台北市萬華區國興路98號1樓,其他餐飲相關
69415128,台灣朋和股份有限公司,台北市內湖區堤頂大道二段473號5樓,橡膠製品製造
73472611,月夜岩蟹懷石日式料理,台北市中山區雙城街25巷9號1樓,餐廳╱餐館
9590050,美加文化實業股份有限公司,台北市中正區館前路28號8樓,補習班
73150631,香港商阿努亞科技有限公司,台北市中山區南京東路三段170號1樓,數位內容相關
50031791,盈泉水電工程股份有限公司,,空調╱水機電工程
51682978,朋廚有限公司,台北市南港區忠孝東路六段85號2樓,麵包店╱點心烘焙店
71953960,住商不動產板橋文化加盟店,,不動產經營╱開發
68635539,國際大旅館,台北市北投區湖山路一段7號,飯店╱旅館
1903870,大三億營造股份有限公司,台北市中山區民生東路二段170號10樓,土木工程
50510648,福將環保工程有限公司,台北市萬華區德昌街261巷21號,環境衛生╱污染防治相關
73089290,崔媽媽蝸牛租屋有限公司,台北市大安區辛亥路一段40號3樓,其他不動產相關
69381531,雅痞電影文學書店(Art Reading Cafe`)_閱森林小館,台北市大安區復興南路一段126巷1號3樓之1,餐廳╱餐館
50512519,臺北市私立維多利亞幼兒園,台北市松山區民權東路三段160巷19弄17號,學前教育事業
1341900,大陸水工股份有限公司,台北市大同區承德路二段137號12樓1之5室,環境衛生╱污染防治相關
73141019,老上海麵館,台北市內湖區民權東路六段310號,餐廳╱餐館
67301338,社團法人世界和平會,台北市大同區重慶北路二段196號2樓,社會福利機構
9782191,商之器科技股份有限公司,"[內湖科技園區]                                                            
                                                        台北市內湖區內湖路一段516號5樓",電腦軟體相關
10341947,日商華大林組營造股份有限公司台灣分公司,台北市松山區復興北路57號16樓-1,土木工程
1265889,強新企業有限公司,台北市士林區中山北路六段726號4樓,國際貿易
71681507,TaeBak 韓式特色料理,台北市中山區復興北路48號1樓,餐廳╱餐館
68647171,致新國際科技股份有限公司,台北市中山區松江路152號8樓(807室),電腦軟體相關
1268208,宜誠資訊股份有限公司,台北市松山區復興北路369號3樓之3,電腦系統整合服務相關
71703892,亨利客有限公司,台北市信義區和平東路三段215號1樓,餐廳╱餐館
67811039,聖力國際股份有限公司,台北市大同區民族西路269號7樓,人力仲介╱代徵╱職業介紹
51546740,日商三共生興股份有限公司台北分公司,,百貨相關
50576738,百富通股份有限公司,台北市南港區南港路三段50巷3號B1,餐廳╱餐館
75134659,師大雞肉飯專門店,台北市大安區師大路59巷4號,餐廳╱餐館
73497921,星哲企業股份有限公司,台北市大同區承德路三段107號2樓,運動服務
51722741,國宏機電工程有限公司,台北市士林區承德路四段33巷16號,電力機械器材製造修配
69590059,優樂客有限公司,台北市內湖區新湖三路128號3樓,貿易代理商
73089451,花嘴廚房,台北市萬華區昆明街214號之1,早餐店
7169,三久行股份有限公司,台北市士林區社正路45巷4弄8號,紙容器製造
73569739,泰媚和利商行,台北市中山區林森北路131號3樓,美容╱美體相關
69482731,迦勒廣告事業有限公司,台北市大安區忠孝東路四段142號8樓之1,廣告行銷公關
67785610,明泓科技顧問股份有限公司,台北市中正區新生南路一段6號3樓之4,電腦系統整合服務相關
50765610,恒開工程顧問有限公司,台北市松山區八德路四段760號6樓之2,空調╱水機電工程
52140489,大將開發股份有限公司,台北市大安區敦化南路二段71號6樓,土木工程
1795152,長達國際有限公司,台北市北投區承德路七段348號6樓,國際貿易
50950791,桂林鐵板燒(華香有限公司),台北市中山區中原街11號2樓,餐廳╱餐館
9772670,台灣佳美工股份有限公司,台北市中正區博愛路38號5樓,被動電子元件製造
10067589,美酷生物科技有限公司,,美容╱美體相關
72559222,YU丼販-石牌店_宇丼販食堂,台北市北投區裕民一路20號,餐廳╱餐館
71718608,楓葉國際股份有限公司,台北市信義區光復南路585號,餐廳╱餐館
51547720,台灣拓人教育事業股份有限公司,台北市松山區南京東路四段126號9樓,補習班
69016747,亞馬森特寵專科醫院,台北市內湖區成功路四段311號1樓,動物醫院
73206461,艾尚美醫美診所,台北市大安區忠孝東路四段55號9樓,診所
10430151,自在生物科技股份有限公司,台北市中正區衡陽路7號15樓,其他醫療保健相關
73184479,韻達國際股份有限公司,,貨運承攬
73093261,STRUGGLE GEAR,台北市信義區永吉路468巷14號,鞋類╱布類╱服飾品零售
50037998,震台木業有限公司,台北市內湖區民權東路六段136巷38號1樓,土木工程
54936600,雄兵企業有限公司,台北市大同區承德路一段10號,自動控制相關
49617680,郵政醫院,台北市中正區福州街14號,醫院
1901749,新東陽股份有限公司,台北市大安區忠孝東路四段289號8樓,食品什貨零售
72572518,喜德科技有限公司,台北市南港區園區街3-2號9樓,電腦系統整合服務相關
73559072,安捷國際事業有限公司,,廣告行銷公關
1228,國雲公寓大廈管理維護股份有限公司,台北市大同區鄭州路139號4樓,保全樓管相關
11510,大陸工程股份有限公司,台北市大安區敦化南路二段95號22樓,土木工程
50811860,台北市私立博如幼兒園,台北市士林區克強路34號,學前教育事業
68756518,HELLO TAIPEI. Sports Space,台北市大安區信義路二段101號B1,運動服務
70026259,凱信企業管理顧問有限公司,台北市大安區忠孝東路四段218之4號12樓,國際貿易
70450499,中華民國老人福利推動聯盟,台北市中山區民權西路79號3樓-2,職業團體
51575498,田芯企業有限公司,台北市松山區復興北路33號5樓之1,國際貿易
9720627,協勤資訊有限公司,台北市松山區寶清街17號6樓之1,電腦軟體相關
54934549,鉅麗富達生物科技股份有限公司,台北市大安區忠孝東路四段76號4樓之6、7,美髮相關
72197028,信成不動產顧問有限公司,台北市中山區松江路42號3樓,不動產經營╱開發
71712608,vivispa士林店,台北市中山區遼寧街65號2樓,美容╱美體相關
33940022,東京都物業管理機構,台北市中正區忠孝東路一段55號3樓,保全樓管相關
73511049,智盈企業管理顧問有限公司,"[內湖科技園區]                                                            
                                                        台北市內湖區堤頂大道二段237號",電腦軟體相關
105762,瑞騰運通有限公司,台北市松山區復興北路325號5樓,儲配╱運輸物流
71956009,(福森水果行)水果承銷人４２９８,台北市萬華區興德里萬大路533號,農╱畜╱水產品批發
2130280,渝豐實業股份有限公司,台北市大安區羅斯福路二段41號5樓之3,電池製造
73145322,一品活蝦 / 澎湃旅人海鮮超市,台北市信義區永吉路120巷84號1樓,餐廳╱餐館
71713238,慧博國際有限公司,台北市中山區南京東路二段101號11樓,電腦系統整合服務相關
2131367,台灣華可貴YKK股份有限公司,台北市中山區民權東路二段40號9樓,紡織成衣
72518967,上允企業社,台北市大同區重慶北路三段296巷7之1號,醫療器材批發
72465340,酒米食堂,台北市北投區永興路一段47號,餐廳╱餐館
71060878,首選搬家貨運有限公司,台北市中山區新生北路三段68巷5號,儲配╱運輸物流
49787487,丸莊食品工業股份有限公司台北分公司,台北市大同區重慶北路三段199號9樓,食品製造╱加工
71636438,博聯生技股份有限公司,台北市松山區光復北路82號9樓,其他醫療保健相關
73521600,九熙有限公司,,其他餐飲相關
73146347,WOW玩行旅,台北市中正區金山南路一段8號,飯店╱旅館
71953380,上揚餐飲有限公司,台北市南港區經貿二路186號C棟3樓(好食城),餐廳╱餐館
50640479,良機實業股份有限公司,台北市中山區南京東路三段1號10樓,專用生產機械製造修配
51077758,美夢成真工作室,台北市中山區林森北路446號,美髮相關
73449991,沐芯牙醫聯合診所,台北市文山區木新路三段153號,診所
9631721,凱旋投資有限公司,台北市南港區忠孝東路六段467號9樓,其他相關製造
50515309,麥園蛋糕食品有限公司,台北市文山區景文街155號,麵包店╱點心烘焙店
71718459,台北市私立智信兒童課後照顧服務中心,台北市內湖區康寧路三段165巷14弄1號4樓,安親╱才藝班
1853661,新煥實業股份有限公司,台北市大安區仁愛路三段26之3號5樓,室內設計
73567898,老字號東門鴨莊,台北市中正區南昌路一段40號,餐廳╱餐館
67801282,南港刨冰小吃店,台北市南港區研究院路一段83號1樓,餐廳╱餐館
70022119,幫你送股份有限公司,台北市中山區龍江路47-1號,郵政╱快遞服務
8930097,北部台灣基督長老教會艋舺教會附設台北私立愛心幼兒園,台北市萬華區貴陽街二段94號,學前教育事業
67007382,露天義大利麵,台北市中山區伊通街106巷21號,餐廳╱餐館
67214201,滿盈食品有限公司,台北市內湖區成功路二段293號2樓,食品製造╱加工
69187898,長富時尚旅店有限公司,台北市中山區長春路56號3樓~5樓,飯店╱旅館
72564541,CAWIA,台北市大安區敦化南路一段289號6樓-2,協會╱基金會
9440421,世達工業股份有限公司,台北市南港區忠孝東路六段21號8樓,國際貿易
495188,敬達聯合會計師事務所,台北市松山區復興北路1號8樓,會計服務
50513390,LEECO OUTLET禮客_管家婆科技股份有限公司,,量販流通相關
48721217,宏元資通科技股份有限公司,台北市內湖區內湖路一段629巷27弄4號1樓,電信相關
68807817,元宏國際股份有限公司,"[內湖科技園區]                                                            
                                                        台北市內湖區洲子街71號8樓",其他電子零組件相關
50759029,劉昌煥建築師事務所,台北市信義區忠孝東路五段259號2樓,建築╱工程技術服務
50750539,和食EN日本料理餐廳(香味股份有限公司),台北市中山區長安東路二段230號7樓之1 (D室),餐廳╱餐館
73545677,波仕台北石牌店,台北市北投區致遠二路98號1樓,飲料店
49455889,合作金庫商業銀行股份有限公司,台北市松山區長安東路二段225號,銀行
73083130, 好適餐飲有限公司 ,台北市中山區大直街9巷1號1樓,餐廳╱餐館
71056170,全衛豐防災顧問有公司,台北市信義區基隆路二段151號4樓之1,建築╱工程技術服務
49845207,鼎運物流股份有限公司,台北市中山區松江路111號3樓之3,貨運承攬
68787691,健華診所,台北市大安區和平東路二段299號,診所
69016371,永笙汽車租賃有限公司,台北市大同區承德路二段114號,汽車貨運
73185561,瑞智精技股份有限公司,台北市南港區南港路一段287巷2弄8號,電腦軟體相關
52171091,泉能開發股份有限公司,台北市信義區永吉路302號2樓之5,不動產經營╱開發
48326407,(茵多蘭國際化粧品)亞緹實業股份有限公司,台北市中山區長春路19號10樓,貿易代理商
73189078,騰瑞生技顧問有限公司,台北市中山區民生東路二段143號8樓,其他醫療保健相關
71720400,臺北市私立奧斯德爾兒童課後照顧服務中心,台北市內湖區民權東路六段296巷66之1號,補習班
9782871,佳商企業股份有限公司,"[內湖科技園區]                                                            
                                                        台北市內湖區洲子街77號1樓",國際貿易
69448107,淨妍醫美集團_淨妍生物科技股份有限公司,台北市大安區忠孝東路四段153號12樓(百年大樓),生化科技研發
9590250,凱仲實業有限公司,台北市松山區復興北路369號15樓,國際貿易
510508,醫療財團法人辜公亮基金會和信治癌中心醫院,台北市北投區立德路125號,醫院
2133700,登昌恆興業股份有限公司,台北市士林區承德路四段220號2樓,多媒體相關
9592231,元大消防工程股份有限公司,台北市內湖區瑞光路478巷22號5樓,空調╱水機電工程
9632597,林崇民牙醫診所,台北市士林區天母西路60號5樓,診所
72523951,I B MAN_新承服飾,台北市萬華區西寧南路127號,鞋類╱布類╱服飾品零售
73450781,台北市私立究吉學府文理技藝短期補習班,台北市大安區忠孝東路四段112號7樓之5,補習班
305260,華卡企業股份有限公司,台北市大安區羅斯福路三段37號14樓之1,人力仲介╱代徵╱職業介紹
54571337,權上國際有限公司 (權上國際車業),台北市內湖區民權東路六段13之16號,汽機車及相關用品零售
69454877,悅盛保全股份有限公司,台北市松山區八德路四段666號12樓之3,保全樓管相關
61353632,容誠駟股份有限公司,台北市士林區大南路361號3樓之1,飲料店
51547330,大永興業股份有限公司,台北市中山區南京東路二段6號12樓,其他營造
72197409,德虹國際股份有限公司,台北市松山區南京東路五段66巷22弄8號1樓,貿易代理商
73544661,臺北市政府社會局委託社團法人吾幼吾家教保協會經營管理臺北市明倫托嬰中心,台北市大同區承德路三段285-8號,學前教育事業
50510799,臺北市私立有緣蒙特梭利幼兒園(準公共化幼兒園),台北市士林區忠誠路二段32巷11號1樓,學前教育事業
2765147,訊光科技系統股份有限公司,台北市大同區民生西路290號8樓,電腦軟體相關
68003462,又強儀器有限公司,台北市大安區和平東路二段175巷5弄12之1號1樓,醫療器材批發
71533737,辛一鍋-文山店 (妍泓小吃店),台北市文山區木新路三段231號,餐廳╱餐館
54935967,學思行數位行銷股份有限公司,台北市中山區長安東路一段23號三樓-2,網路相關
73475128,吉陞工程有限公司,台北市中山區吉林路315巷14號,空調╱水機電工程
73568478,以信會計師事務所,台北市中山區民權西路70號8樓,會計服務
50578170,美商德盟全球凱展股份有限公司台灣分公司,台北市內湖區民權東路六段16號3樓,工商顧問服務
72571310,沂利有限公司,台北市中正區臨沂街27巷9之1號,餐廳╱餐館
68989249,宏邦針織有限公司,台北市南港區向陽路185號5樓,國際貿易
69159762,聖麗景觀園藝工程行,,景觀設計
71699111,易麗企業有限公司,台北市大安區仁愛路四段79號5樓,首飾╱貴金屬批發
72429420,京美建設股份有限公司,台北市士林區天母東路1-1號7樓,建築工程
67006389,孟澧姐姐家事家藝管理團隊,台北市中山區遼寧街101巷2弄7號,室內設計
48472909,弘葦企業有限公司,台北市大同區寧夏路165號12樓之1,機械設備租賃／維修
71681831,鼎誠會計師事務所,台北市文山區景興路202巷15號1樓 (景美捷運站出口旁),會計服務
89007,台北市立關渡醫院,台北市北投區知行路225巷12號,醫院
73473242,宏安物業管理顧問有限公司,台北市信義區東興路41號3樓,保全樓管相關
54762508,英倫交通有限公司,台北市中正區愛國東路70號2樓,旅遊服務
54290961,中瀅有限公司,台北市中正區青島東路7之4號B1,農╱畜╱水產品零售
73559148,王山頌建築師事務所,台北市大安區四維路36號,建築╱工程技術服務
73543669,OK藥師藥局,台北市中山區興安街95號,藥局
72467670,Kidchen Club英語親子烘焙教室,台北市內湖區金莊路96號,其他教育服務業
67211807,吉甜不辣,台北市大安區延吉街134號之1,餐廳╱餐館
69397457,洺町和風美食,台北市中山區龍江路110號1樓,餐廳╱餐館
68812118,百益健康管理顧問有限公司,台北市大安區敦化南路二段267號10樓,食品什貨批發
51530249,羅吉司科技興業股份有限公司,台北市大安區忠孝東路四段191號9樓之1,其他化學相關製造
71698570,愛兒麗產後護理之家,台北市內湖區民權東路六段180巷6號7樓,護理之家／安養中心／長照
8960999,1111人力銀行(進修部),台北市松山區南京東路五段99號7樓,網路相關
73081588,海閤企業有限公司,台北市南港區研究院路三段80號1樓,空調╱水機電工程
50758350,松德餐飲包裝材料行,台北市中山區渭水路22號,塑膠製品製造
51547809,(台北怡亨酒店)華弘開發有限公司敦南分公司,台北市大安區敦化南路一段370號,飯店╱旅館
73172261,飛聖全球服務股份有限公司,台北市中山區南京東路三段68號10樓,工商顧問服務
71056977,經硯文理補習班,台北市松山區三民路18號,補習班
69622088,岩串燒居酒屋,台北市大安區樂利路49號,餐廳╱餐館
67982152,奇異旅行社有限公司,台北市大安區和平東路一段238號8樓,旅遊服務
73473867,迷客夏 / 梁社漢排骨,台北市信義區信義路四段375號,餐廳╱餐館
68650951,見欣實業股份有限公司,台北市中正區衡陽路51號8樓之2,化學原料╱相關製品批發
71059250,吉億有限公司,台北市大同區區西寧北路56號2樓,文教╱育樂用品批發
73557591,KONMA,台北市信義區基隆路1段147巷5弄3號1樓,餐廳╱餐館
72532519,合仕環保有限公司,台北市中山區龍江街412巷60號1樓,環境衛生╱污染防治相關
50016589,鼎林水果行,台北市中正區開封街一段59號,農╱畜╱水產品零售
61353841,俊輝營造工程有限公司,台北市信義區虎林街212巷33號1樓,土木工程
71173139,台北市私立可瑞荳托嬰中心,台北市北投區大業路506之1號1樓,學前教育事業
67800739,私立永芯康復之家,台北市中山區長安東路一段63號5樓,護理之家／安養中心／長照
72427727,哆啦數位科技有限公司.,台北市大安區忠孝東路四段270號17樓,遊戲電玩
70698617,韓商咖菲二十四貿易有限公司,台北市松山區復興北路369號6樓,網路相關
67786598,松町和風小舖,台北市文山區木新路二段60號,餐廳╱餐館
51582950,私立逸毅非凡文理短期補習班,台北市內湖區東湖路7巷21號1至5樓,補習班
33867130,昇陽保全股份有限公司,台北市大安區忠孝東路四段289號10樓之3,保全樓管相關
72193738,宜星國際股份有限公司,台北市大安區安和路二段120號5樓,國際貿易
73074830,漢雨有限公司,台北市內湖區瑞光路358巷30弄15號6樓,國際貿易
67790669,快潔樂家事服務工作室,台北市松山區南京東路五段389巷10號3樓,家事／清潔服務
67983850,台北市私立菁英幼兒園,台北市大安區新生南路一段119巷15號,學前教育事業
50818102,臺北市私立嘉恩老人長期照顧中心(養護型),台北市大安區安居街29號4樓,護理之家／安養中心／長照
73165170,固的有限公司,台北市中山區農安街153號1樓,食品什貨批發
73505637,永佳捷科技股份有限公司,台北市中山區敬業一路128巷39號3樓之1,通用機械設備製造修配
68633502,立昕汽車有限公司,,休閒服務
71727450,雅客商行,台北市中山區民權東路二段206號3樓之2,其他營造
69597047,睿芙奧有限公司,台北市大安區敦化南路二段76號24樓之2,文創╱藝術服務
